"ID";"ARTICLE";"SECTION_NAME";"NAME";"DESCRIPTION";"PRICE";"URL";"SALES";"PREORDER"
"2886";"bxr_demo_2622";"Наушники";"Наушники JBL T110 (черный)";"наушники с микрофоном, внутриканальные, портативные, 20-20000 Гц, кабель 1.2 м";"43.88 BYN";"/catalog/audiotekhnika/naushniki/naushniki_jbl_t110_chernyy/";"N";"N"
"3815";"bxr_demo_3559";"USB накопители";"USB 32GB SmartBuy Glossy series, черный";"USB Флеш-накопитель SmartBuy Glossy Series 3.0 32GB";"17.90 BYN";"/catalog/kompyutery-i-seti/usb-nakopiteli/usb_32gb_smartbuy_glossy_series_chernyy/";"Y";"N"
"3816";"bxr_demo_3560";"USB накопители";"USB 32GB SmartBuy V-Cut, серебристый";"USB 32GB";"17.90 BYN";"/catalog/kompyutery-i-seti/usb-nakopiteli/usb_32gb_smartbuy_v_cut_serebristyy/";"Y";"N"
"3945";"bxr_demo_3691";"USB накопители";"USB 16GB SmartBuy V-Cut, черный";"16 ГБ, USB 2.0 Type-A, с колпачком, металл/пластик";"17.90 BYN";"/catalog/kompyutery-i-seti/usb-nakopiteli/usb_16gb_smartbuy_v_cut_chernyy/";"Y";"N"
"5152";"bxr_demo_4904";"Наушники";"Наушники Panasonic RP-HJE125E-W (белый)";"наушники, внутриканальные, портативные, 10-24000 Гц, кабель 1.1 м";"35.90 BYN";"/catalog/audiotekhnika/naushniki/naushniki_panasonic_rp_hje125e_belyy/";"N";"N"
"33183";"nsv0028274";"Наушники";"Наушники Panasonic RP-HJE118GUK (черный)";"наушники, портативные, оформление закрытое, излучатель 9 мм, 12-23000 Гц, 16 Ом, кабель 1.1 м";"35.90 BYN";"/catalog/audiotekhnika/naushniki/panasonic-rp-hje118gu-k/";"N";"N"
"33230";"nsv0027995";"Автомобильные держатели";"Baseus Magnetic Air Vent Holder (серебристый)";"шарнирная конструкция, крепление в вентрешетку, для устройств с экраном 4-6&quot;";"35.90 BYN";"/catalog/avtomobilnye-tovary/avtoaksessuary/avtomobilnye-derzhateli/baseus-magnetic-air-vent-holder-serebristyj/";"N";"N"
"33231";"nsv0027996";"Автомобильные держатели";"Автомобильный держатель Baseus Magnetic Air Vent Holder (черный)";"шарнирная конструкция, крепление в вентрешетку, для устройств с экраном 4-6&quot;";"32.90 BYN";"/catalog/avtomobilnye-tovary/avtoaksessuary/avtomobilnye-derzhateli/baseus-magnetic-air-vent-holder-chernyj/";"N";"N"
"33480";"nsv0027212";"Мониторы";"Монитор LG 27MK430H-B";"27&quot;, 16:9, 1920x1080, IPS, 75 Гц, FreeSync, интерфейсы HDMI+D-Sub (VGA)";"998.84 BYN";"/catalog/kompyutery-i-seti/monitory/lg-27mk430h-b/";"N";"N"
"33507";"nsv0027255";"Мониторы";"Монитор Philips 273V7QDAB/00";"27&quot;, 16:9, 1920x1080, IPS, 60 Гц, динамики, интерфейсы HDMI+DVI+D-Sub (VGA)";"599.39 BYN";"/catalog/kompyutery-i-seti/monitory/monitor-philips-273v7qdab-00/";"N";"N"
"33718";"nsv0028608";"Телевизоры";"Телевизор Polar 40PL52TC-SM";"40&quot; 1920x1080 (Full HD), матрица VA, частота матрицы 50 Гц, Smart TV (Android), Wi-Fi";"791.98 BYN";"/catalog/televizory-i-videotekhnika/televizory/televizor-polar-40pl52tc-sm/";"N";"N"
"35599";"nsv0029087";"Цифровые товары";"Навител Навигатор +карт РБ.Вер. PHONE RETAIL 365 дней";"";"57.00 BYN";"/catalog/tsifrovye-tovary/navitel-navigator-plus-kart-rb-ver-phone-retail-365-dnej/";"N";"N"
"35600";"nsv0029096";"Цифровые товары";"Навител Навигатор +карт РБ,Польша,Прибалтика PHONE RETAIL 365 дней";"";"69.00 BYN";"/catalog/tsifrovye-tovary/navitel-navigator-plus-kart-rb-polsha-pribaltika-phone-retail-365-dnej/";"N";"N"
"35601";"nsv0029127";"Цифровые товары";"Навител Навигатор +карт Европа,Содружество PHONE RETAIL 365 дней";"";"120.00 BYN";"/catalog/tsifrovye-tovary/navitel-navigator-plus-kart-evropa-sodruzhestvo-phone-retail-365-dnej/";"N";"N"
"35604";"nsv0029128";"Цифровые товары";"Лицензия на 90 дней на базу данных «MyBook» подписка “стандартная”";"";"35.00 BYN";"/catalog/tsifrovye-tovary/litsenzija-na-90-dnej-na-bazu-dannykh-mybook-podpiska-premialnaja/";"N";"N"
"35605";"nsv0029129";"Цифровые товары";"Лицензия на 90 дней на базу данных «MyBook» подписка “премиальная”";"";"76.00 BYN";"/catalog/tsifrovye-tovary/litsenzija-na-90-dnej-na-bazu-dannykh-mybook-podpiska-premialnaja-plus-audio-/";"N";"N"
"35611";"nsv0029088";"Цифровые товары";"Kaspersky Safe Kids. 1-User 1 year Base Licence Pack ( 1 девайс на 1 год)";"";"58.00 BYN";"/catalog/tsifrovye-tovary/kaspersky-safe-kids-1-user-1-year-base-retail-pack-1-devajs-na-1-god/";"N";"N"
"35613";"nsv0029111";"Цифровые товары";"Kaspersky Standart Mobile Belarus Edition (1 девайс на 1 год)";"";"28.00 BYN";"/catalog/tsifrovye-tovary/kaspersky-internet-security-for-android-1-devajs-android-na-1-god/";"N";"N"
"35817";"nsv0029179";"Мониторы";"Монитор LG 27UL500-W";"27&quot;, 16:9, 3840x2160, IPS, 60 Гц, FreeSync, интерфейсы HDMI+DisplayPort";"1063.86 BYN";"/catalog/kompyutery-i-seti/monitory/lg-27ul500-w/";"N";"N"
"35826";"nsv0029165";"Мониторы";"Монитор Philips 243V7QDSB/01";"23.8&quot;, 16:9, 1920x1080, IPS, 60 Гц, интерфейсы HDMI+DVI+D-Sub (VGA)";"506.01 BYN";"/catalog/kompyutery-i-seti/monitory/philips-243v7qdsb-01/";"N";"N"
"35828";"nsv0029164";"Мониторы";"Монитор Philips 243V7QDAB/01";"23.8&quot;, 16:9, 1920x1080, IPS, 60 Гц, динамики, интерфейсы HDMI+DVI+D-Sub (VGA)";"495.15 BYN";"/catalog/kompyutery-i-seti/monitory/philips-243v7qdab-01/";"N";"N"
"36170";"nsv0029293";"Мониторы";"Монитор Philips 273V7QDAB/01";"27&quot;, 16:9, 1920x1080, IPS, 60 Гц, динамики, интерфейсы HDMI+DVI+D-Sub (VGA)";"596.61 BYN";"/catalog/kompyutery-i-seti/monitory/philips-273v7qdab-01/";"N";"N"
"36182";"nsv0029284";"Мониторы";"Монитор Philips 243V7QJABF/00";"23.8&quot;, 16:9, 1920x1080, IPS, 60 Гц, динамики, интерфейсы HDMI+D-Sub (VGA)+DisplayPort";"562.87 BYN";"/catalog/kompyutery-i-seti/monitory/philips-243v7qjabf-00/";"N";"N"
"36214";"nsv0029390";"Беспроводные точки доступа и усилители Wi-Fi";"Точка доступа TP-Link RE305";"802.11ac, до 1167 Mbps, 1x100Mbit LAN";"245.11 BYN";"/catalog/kompyutery-i-seti/setevoe-oborudovanie/besprovodnye-tochki-dostupa/tp-link-re305/";"N";"N"
